"","C01","C02","C03","C04","C06","C07","C08","C09","C10","C11","C12","C13","C14","C15","P01","P13","P25"
"TZ398AQ_6u7ck2b421wx_2021-10-20T16-37_water",0.156942012732336,12.5343181805913,8.36968909966442,6.91644921977898,8.78934612561183,16.5137467301084,11.5868475335051,3.83913324332443,4.37633500789768,2.60706417778674,6.9050368019553,3.33046332408363,7.1985575160763,6.87607068903141,4.76496718007422e-11,3.37804571785681e-07,7.08993076331905e-21
"TZ399AQ_6u7ck2b421wx_2021-10-20T16-39_water",1.25563566205153,9.37908427979053,6.46528183174118,10.3895295125706,10.2643031856103,8.68556342436015,8.46888529005449,6.86861680493825,0.0074179919512431,0.00396443829508662,9.4601498105506,9.76969987441229,10.3836754266987,8.59819243836932,6.92917655153681e-12,2.85988769977431e-08,1.48316933050606e-21
"TZ401AQ_6u7bggyqu9wm_2021-10-19T14-45_water",0.551227194233238,11.88618269405,8.01520571353355,8.96840653951455,10.0549638026325,12.9099716904132,10.2254659563741,5.47621070169871,0.235112165262112,0.130930389152665,8.64207604757288,5.99994962861256,9.20831712593253,7.6959802734732,1.50877706104305e-11,7.75291580012958e-08,1.22910161900672e-21
"TZ402AQ_6u7bggyqu9wm_2021-10-19T15-03_water",1.04449587672245,7.82925766606099,11.4524432641702,9.28209385447688,9.2486064655263,7.94689165836369,10.2979888545583,5.43520092195894,0.00852076345654748,0.00732027109592015,11.1698307821952,7.49333642338215,8.77235279299837,10.011657730892,2.3587696787735e-09,2.67178328777466e-06,2.64411255966289e-20
"TZ403AQ_6u7bggyqu9wm_2021-10-19T15-06_water",0.157600090309292,7.33251744976721,6.46461732806323,9.41267615079761,9.95927932723191,8.98841744844384,12.836427579707,5.32675976796429,0.00717825321068489,0.00506485849190779,8.58678703940915,7.40942088124813,8.81493585306874,14.6983149354022,5.52015356785798e-10,3.03633281117816e-06,6.8611759696124e-17
"TZ405AQ_6u7c9mv2g8w8_2021-10-20T15-20_water",1.33014848636904,9.64561156271945,6.73495629987217,10.2893687684202,10.2291165565919,8.92225929086293,8.44628358079071,6.79237057130135,0.00989545042477879,0.00531398698050204,9.51679993815083,9.46060894482884,10.3253460206788,8.29192051429318,7.073697460694e-12,2.7708206432518e-08,8.31773290686668e-22
"TZ406AQ_6u7c9mv2g8w9_2021-10-20T15-22_water",2.10610765073763,9.3521119624522,5.77679973520778,10.7170715498539,10.2195174736038,7.93495384479715,7.29072176471231,7.47360830445066,0.00393774151594346,0.0019018153730843,9.41668900109949,11.2033502145419,10.8434098882418,7.65981904679487,1.56026595594162e-12,6.61594898865437e-09,1.61486610813957e-22
"TZ409AQ_6u7c1gyw8k5n_2021-10-19T12-45_water",0.290826415132643,11.7303710198379,8.70850527231555,8.28757819836441,9.73355263788201,14.1061736997643,11.6344200411488,4.76942904555099,0.567736165111347,0.348884363654403,8.27168622565626,4.85335898611437,8.42779971983745,8.26967787219465,6.44609352818244e-11,3.37370458977266e-07,1.12698215224984e-20
"TZ410AQ_6u7c1gyw8k5n_2021-10-19T13-10_water",0.0423833788445428,7.58346688322863,4.46055156588791,3.04793207941134,4.27169104497425,11.1362413868527,6.32291984164788,1.62021515442797,32.4605803146944,18.6042121262274,3.06147085841791,1.14805896976098,3.27017352837966,2.97010269051687,1.75894824345482e-11,1.7671006263098e-07,1.62776122570912e-21
"TZ411AQ_6u7c1gyw8k5n_2021-10-19T13-25_water",4.49726835018317e-11,5.29049486586792e-07,1.88235871849229e-07,2.30332731746056e-08,6.03177413700325e-08,1.42119548287405e-06,1.76903140928855e-07,9.34577324635144e-09,66.3746792082751,33.6253183069248,2.94425717958713e-08,1.65214762036603e-09,3.06253226704379e-08,1.49543622305462e-08,1.11759017640366e-19,3.88512425474784e-15,4.78287483003532e-34
